#;Author;Title;Year;ISBN;Publisher;LLC;Stock
63;Laplante, Phillip A.;Real-time systems design and analysis:tools for the practitioner;2012;9,78E+12;John Wiley & Sons Inc.;QA76.54  .L37 2012 ;6
64;Jaluria, Yogesh;Computer methods for engineering with MATLAB applications;2012;9,78E+12;CRC Press;TA345  .J29 2012;14
65;Ibrahim, Dogan;Using LEDs, LCDs and GLCDs in microcontroller projects;2012;9,78E+12;John Wiley & Sons, Ltd;TK7882.I6 .I185 2012;19
66;Gittleman, Art;Computing with C# and the .Net Framework;2012;9781449615505, 1449615503;Jones & Bartlett Learning;QA76.73.C154  G58 2012  ;16
67;Di Jasio, Lucio;Programming 16-bit PIC microcontrollers in C:learning to fly the PIC24;2012;9,78E+12;Newnes;TJ223.P76  D54 2012;1
68;Berry, Carlotta A.;Mobile robotics for multidisciplinary study;2012;9,78E+12;Morgan & Claypool; ;16
69;Berger, Hans;Automating with STEP 7 in STL and SCL:programmable controllers SIMATIC S7-300/400;2012;9,78E+12;Publicis Publishing;TJ223 .P76 .B468 2014;16
70;Berger, Hans;Automating with STEP 7 in LAD and FBD:SIMATIC S7-300/400 programmable controllers;2012;9,78E+12;Publicis Publishing;TJ223.P76   .B468 2012;12
71;;Design, implementation, and evaluation of virtual learning environments;2012;9781466617704, 9781466617711, 9781466617728;Information Science Reference;LB1044.87 .D475 2012;10
72;;CUDA application design and development;2012;9780123884268 (electronic bk.), 0123884268 (electronic bk.), 9780123884329 (electronic bk.), 0123884322 (electronic bk.);Morgan Kaufmann;QA76.76.A65 F37 2012;15
73;;Holistic game development with Unity;2012;9780240819334 (electronic bk.), 0240819330 (electronic bk.), 9780240819341 (electronic bk.), 0240819349 (electronic bk.);Focal Press,;QA76.76.C672 B335 2012;5
74;;GPU computing gems;2012;9780123859631 (electronic bk.), 0123859638 (electronic bk.), 9780123859648, 0123859646;Morgan Kaufmann/Elsevier;T385 .G6875 2012eb;20
75;;Analog design and simulation using OrCAD Capture and PSpice;2012;9780080970950 (electronic bk.), 0080970958 (electronic bk.);Newnes / Elsevier;TK7874 .F58 2012eb;16
76;Norbisrath, Ulrich;Story driven modeling;2013;9781483949253, 1483949257;CreateSpace Independent Publishing Platform;QA76.76.D47 .C67 2013;15
77;Kiusalaas, Jaan;Numerical methods in engineering with Python 3;2013;9,78E+12;Cambridge University Press;TA345  .K584 2005;13
78;Hanly, Jeri R.;Problem solving and program design in C;2013;9780273774198, 0273774190;Pearson;QA76.73.C15 .H363 2013;8
79;Dale, Nell;C plus data structures;2013;9,78E+12;Jones;QA76.73.C153 D334 2003;20
80;Chlipala, Adam;Certified programming with dependent types:a pragmatic introduction to the Coq proof assistant;2013;9,78E+12;MIT Press; ;17
81;Berger, Hans;Automating with SIMATIG:controllers, software, programming, data communication, operator control and process monitoring;2013;9783895783876, 9783895786761;Publicis Publishing;TJ223.P76   .B46798 2013;15
82;Xue, Dingyu;System simulation techniques with MATLAB and Simulink;2014;9781118694350, 9781118694374, 9781118647929;John Wiley & Sons, Ltd.;T57.62 .X84 2014;20
83;Papadimitriou, Christos H.;Combinatorial optimization:algorithms and complexity;2014;9780486402581, 0486402584;Dover Publications. Inc.;QA402.5 .P37 1982;11
84;Rowe, Neil C.;Introduction to cyberdeception;2016;9,78E+12;Springer;QA76.9.A25 .R69 2016;2
85;O'Regan, Gerard;Introduction to the history of computing:a computing history primer;2016;9,78E+12;Springer;QA76.17 .O74 2016;17
86;;Markov decision processes in practice;2017;9,78E+12;Springer;QA274.7 .M37 2017;7
87;Doszhan;Dosik's stories;2018;12341234;CPS;1111;1
